,original,radar,syntax
0,"static int countPairs ( int A1 [ ] , int A2 [ ] , int n1 , int n2 , int K ) {
  int res = 0 ;
  Map < Integer , Integer > m = new HashMap < Integer , Integer > ( ) ;
  for ( int i = 0 ;
  i < n1 ;
  ++ i ) {
    if ( m . containsKey ( A1 [ i ] ) ) m . put ( A1 [ i ] , m . get ( A1 [ i ] ) + 1 ) ;
    else m . put ( A1 [ i ] , 1 ) ;
  }
  for ( int i = 0 ;
  i < n2 ;
  ++ i ) {
    int temp = K - A2 [ i ] ;
    if ( m . containsKey ( temp ) && m . get ( temp ) != 0 ) {
      res ++ ;
      m . put ( temp , m . get ( A1 [ i ] ) - 1 ) ;
    }
  }
  return res ;
}
","static int contPairs ( int A1 [ ] , int A2 [ ] , int n1 , int n2 , int K ) {
  int res = 0 ;
  Map < Integer , Integer > m = new HashMap < Integer , Integer > ( ) ;
  for ( int i = 0 ;
  i < n1 ;
  ++ i ) {
    if ( m . containsKey ( A1 [ i ] ) ) m . put ( A1 [ i ] , m . get ( A1 [ i ] ) + 1 ) ;
    else m . put ( A1 [ i ] , 1 ) ;
  }
  for ( int i = 0 ;
  i < n2 ;
  ++ i ) {
    int temp = K - A2 [ i ] ;
    if ( m . containsKey ( temp ) && m . get ( temp ) != 0 ) {
      res ++ ;
      m . put ( temp , m . get ( A1 [ i ] ) - 1 ) ;
    }
  }
  return res ;
}
","static int countPairs ( int A1 [ ] , int A2 [ ] , int n1 , int n2 , int K ) {
  int res = 0 ;
  Map < Integer , Integer > m = new HashMap < Integer , Integer > ( ) ;
  int i = 0 ;
  while ( i < n1 ) {
    if ( m . containsKey ( A1 [ i ] ) ) m . put ( A1 [ i ] , m . get ( A1 [ i ] ) + 1 ) ;
    else m . put ( A1 [ i ] , 1 ) ;
    ++ i ;
  }
  for ( int i = 0 ;
  i < n2 ;
  ++ i ) {
    int temp = K - A2 [ i ] ;
    if ( m . containsKey ( temp ) && m . get ( temp ) != 0 ) {
      res ++ ;
      m . put ( temp , m . get ( A1 [ i ] ) - 1 ) ;
    }
  }
  return res ;
}"
1,"static int lehmann ( int n , int t ) {
  Random rand = new Random ( ) ;
  rand . setSeed ( 1234 ) ;
  int a = rand . nextInt ( n - 3 ) + 2 ;
  float e = ( n - 1 ) / 2 ;
  while ( t > 0 ) {
    int result = ( ( int ) ( Math . pow ( a , e ) ) ) % n ;
    if ( ( result % n ) == 1 || ( result % n ) == ( n - 1 ) ) {
      a = rand . nextInt ( n - 3 ) + 2 ;
      t -= 1 ;
    }
    else return - 1 ;
  }
  return 1 ;
}
","static int lehamnn ( int n , int t ) {
  Random rand = new Random ( ) ;
  rand . setSeed ( 1234 ) ;
  int a = rand . nextInt ( n - 3 ) + 2 ;
  float e = ( n - 1 ) / 2 ;
  while ( t > 0 ) {
    int result = ( ( int ) ( Math . pow ( a , e ) ) ) % n ;
    if ( ( result % n ) == 1 || ( result % n ) == ( n - 1 ) ) {
      a = rand . nextInt ( n - 3 ) + 2 ;
      t -= 1 ;
    }
    else return - 1 ;
  }
  return 1 ;
}
","static int lehmann ( int n , int t ) {
  Random rand = new Random ( ) ;
  rand . setSeed ( 1234 ) ;
  int a = rand . nextInt ( n - 3 ) + 2 ;
  float e = ( n - 1 ) / 2 ;
  for ( ;
  0 < t ;
  ) {
    int result = ( ( int ) ( Math . pow ( a , e ) ) ) % n ;
    if ( ( result % n ) == 1 || ( result % n ) == ( n - 1 ) ) {
      a = rand . nextInt ( n - 3 ) + 2 ;
      t = t - 1 ;
    }
    else return - 1 ;
  }
  return 1 ;
}"
2,"private static int maxDistance ( int [ ] array ) {
  int max1 = Integer . MIN_VALUE ;
  int min1 = Integer . MAX_VALUE ;
  int max2 = Integer . MIN_VALUE ;
  int min2 = Integer . MAX_VALUE ;
  for ( int i = 0 ;
  i < array . length ;
  i ++ ) {
    max1 = Math . max ( max1 , array [ i ] + i ) ;
    min1 = Math . min ( min1 , array [ i ] + i ) ;
    max2 = Math . max ( max2 , array [ i ] - i ) ;
    min2 = Math . min ( min2 , array [ i ] - i ) ;
  }
  return Math . max ( max1 - min1 , max2 - min2 ) ;
}
","private static int preDistance ( int [ ] array ) {
  int max1 = Integer . MIN_VALUE ;
  int min1 = Integer . MAX_VALUE ;
  int max2 = Integer . MIN_VALUE ;
  int min2 = Integer . MAX_VALUE ;
  for ( int i = 0 ;
  i < array . length ;
  i ++ ) {
    max1 = Math . max ( max1 , array [ i ] + i ) ;
    min1 = Math . min ( min1 , array [ i ] + i ) ;
    max2 = Math . max ( max2 , array [ i ] - i ) ;
    min2 = Math . min ( min2 , array [ i ] - i ) ;
  }
  return Math . max ( max1 - min1 , max2 - min2 ) ;
}
","private static int maxDistance ( int [ ] array ) {
  int max1 = Integer . MIN_VALUE ;
  int min1 = Integer . MAX_VALUE ;
  int max2 = Integer . MIN_VALUE ;
  int min2 = Integer . MAX_VALUE ;
  int i = 0 ;
  while ( i < array . length ) {
    max1 = Math . max ( max1 , array [ i ] + i ) ;
    min1 = Math . min ( min1 , array [ i ] + i ) ;
    max2 = Math . max ( max2 , array [ i ] - i ) ;
    min2 = Math . min ( min2 , array [ i ] - i ) ;
    i ++ ;
  }
  return Math . max ( max1 - min1 , max2 - min2 ) ;
}"
3,"static boolean isPossible ( int n ) {
  int fac [ ] = new int [ 10 ] ;
  fac [ 0 ] = fac [ 1 ] = 1 ;
  for ( int i = 2 ;
  i < 10 ;
  i ++ ) fac [ i ] = fac [ i - 1 ] * i ;
  int sum = 0 ;
  int x = n ;
  while ( x != 0 ) {
    sum += fac [ x % 10 ] ;
    x /= 10 ;
  }
  if ( sum % n == 0 ) return true ;
  return false ;
}
","static boolean zeroChangeable ( int n ) {
  int fac [ ] = new int [ 10 ] ;
  fac [ 0 ] = fac [ 1 ] = 1 ;
  for ( int i = 2 ;
  i < 10 ;
  i ++ ) fac [ i ] = fac [ i - 1 ] * i ;
  int sum = 0 ;
  int x = n ;
  while ( x != 0 ) {
    sum += fac [ x % 10 ] ;
    x /= 10 ;
  }
  if ( sum % n == 0 ) return true ;
  return false ;
}
","static boolean isPossible ( int n ) {
  int fac [ ] = new int [ 10 ] ;
  fac [ 0 ] = fac [ 1 ] = 1 ;
  int i = 2 ;
  while ( i < 10 ) {
    fac [ i ] = fac [ i - 1 ] * i ;
    i ++ ;
  }
  int sum = 0 ;
  int x = n ;
  while ( x != 0 ) {
    sum += fac [ x % 10 ] ;
    x /= 10 ;
  }
  if ( sum % n == 0 ) return true ;
  return false ;
}"
4,"static int XorAscii ( String str , int len ) {
  int ans = ( str . charAt ( 0 ) ) ;
  for ( int i = 1 ;
  i < len ;
  i ++ ) {
    ans = ( ans ^ ( ( str . charAt ( i ) ) ) ) ;
  }
  return ans ;
}
","static int calPalin ( String str , int len ) {
  int ans = ( str . charAt ( 0 ) ) ;
  for ( int i = 1 ;
  i < len ;
  i ++ ) {
    ans = ( ans ^ ( ( str . charAt ( i ) ) ) ) ;
  }
  return ans ;
}
","static int XorAscii ( String str , int len ) {
  int ans = ( str . charAt ( 0 ) ) ;
  int i = 1 ;
  while ( i < len ) {
    ans = ( ans ^ ( ( str . charAt ( i ) ) ) ) ;
    i ++ ;
  }
  return ans ;
}"
5,"static Vector missing_elements ( Vector vec ) {
  Vector mis = new Vector ( ) ;
  for ( int i = 0 ;
  i < vec . size ( ) ;
  i ++ ) {
    int temp = Math . abs ( ( int ) vec . get ( i ) ) - 1 ;
    if ( ( int ) vec . get ( temp ) > 0 ) vec . set ( temp , - ( int ) vec . get ( temp ) ) ;
    else vec . set ( temp , vec . get ( temp ) ) ;
  }
  for ( int i = 0 ;
  i < vec . size ( ) ;
  i ++ ) {
    if ( ( int ) vec . get ( i ) > 0 ) mis . add ( i + 1 ) ;
  }
  return mis ;
}
","static Vector missingElements ( Vector vec ) {
  Vector mis = new Vector ( ) ;
  for ( int i = 0 ;
  i < vec . size ( ) ;
  i ++ ) {
    int temp = Math . abs ( ( int ) vec . get ( i ) ) - 1 ;
    if ( ( int ) vec . get ( temp ) > 0 ) vec . set ( temp , - ( int ) vec . get ( temp ) ) ;
    else vec . set ( temp , vec . get ( temp ) ) ;
  }
  for ( int i = 0 ;
  i < vec . size ( ) ;
  i ++ ) {
    if ( ( int ) vec . get ( i ) > 0 ) mis . add ( i + 1 ) ;
  }
  return mis ;
}
","static Vector missing_elements ( Vector vec ) {
  Vector mis = new Vector ( ) ;
  int i = 0 ;
  while ( i < vec . size ( ) ) {
    int temp = Math . abs ( ( int ) vec . get ( i ) ) - 1 ;
    if ( ( int ) vec . get ( temp ) > 0 ) vec . set ( temp , - ( int ) vec . get ( temp ) ) ;
    else vec . set ( temp , vec . get ( temp ) ) ;
    i ++ ;
  }
  for ( int i = 0 ;
  i < vec . size ( ) ;
  i ++ ) {
    if ( ( int ) vec . get ( i ) > 0 ) mis . add ( i + 1 ) ;
  }
  return mis ;
}"
6,"static int find_sub ( String s , int k ) {
  int len = s . length ( ) ;
  int lp = 0 , rp = 0 ;
  int ans = 0 ;
  int [ ] hash_char = new int [ 26 ] ;
  for ( ;
  rp < len ;
  rp ++ ) {
    hash_char [ s . charAt ( rp ) - 'a' ] ++ ;
    while ( hash_char [ s . charAt ( rp ) - 'a' ] > k ) {
      hash_char [ s . charAt ( lp ) - 'a' ] -- ;
      lp ++ ;
    }
    ans += rp - lp + 1 ;
  }
  return ans ;
}
","static int findSub ( String s , int k ) {
  int len = s . length ( ) ;
  int lp = 0 , rp = 0 ;
  int ans = 0 ;
  int [ ] hash_char = new int [ 26 ] ;
  for ( ;
  rp < len ;
  rp ++ ) {
    hash_char [ s . charAt ( rp ) - 'a' ] ++ ;
    while ( hash_char [ s . charAt ( rp ) - 'a' ] > k ) {
      hash_char [ s . charAt ( lp ) - 'a' ] -- ;
      lp ++ ;
    }
    ans += rp - lp + 1 ;
  }
  return ans ;
}
","static int find_sub ( String s , int k ) {
  int len = s . length ( ) ;
  int lp = 0 , rp = 0 ;
  int ans = 0 ;
  int [ ] hash_char = new int [ 26 ] ;
  for ( ;
  rp < len ;
  rp ++ ) {
    hash_char [ s . charAt ( rp ) - 'a' ] ++ ;
    for ( ;
    hash_char [ s . charAt ( rp ) - 'a' ] > k ;
    ) {
      hash_char [ s . charAt ( lp ) - 'a' ] -- ;
      lp ++ ;
    }
    ans = ans + rp - lp + 1 ;
  }
  return ans ;
}"
7,"static boolean check ( int a [ ] , int n ) {
  if ( n % 2 == 1 ) return false ;
  for ( int i = 0 ;
  i < n / 2 ;
  i ++ ) {
    if ( a [ i ] != a [ i + ( n / 2 ) ] ) return false ;
  }
  return true ;
}
","static boolean cehck ( int a [ ] , int n ) {
  if ( n % 2 == 1 ) return false ;
  for ( int i = 0 ;
  i < n / 2 ;
  i ++ ) {
    if ( a [ i ] != a [ i + ( n / 2 ) ] ) return false ;
  }
  return true ;
}
","static boolean check ( int a [ ] , int n ) {
  if ( n % 2 == 1 ) return false ;
  int i = 0 ;
  while ( i < n / 2 ) {
    if ( a [ i ] != a [ i + ( n / 2 ) ] ) i ++ ;
    return false ;
    i ++ ;
  }
  return true ;
}"
8,"static long powerNumbers ( int n ) {
  HashSet < Long > v = new HashSet < Long > ( ) ;
  for ( long i = 2 ;
  i * i * i <= n ;
  i ++ ) {
    long j = i * i ;
    while ( j * i <= n ) {
      j *= i ;
      long s = ( long ) Math . sqrt ( j ) ;
      if ( s * s != j ) v . add ( j ) ;
    }
  }
  return v . size ( ) + ( long ) Math . sqrt ( n ) ;
}
","static long pwerNth ( int n ) {
  HashSet < Long > v = new HashSet < Long > ( ) ;
  for ( long i = 2 ;
  i * i * i <= n ;
  i ++ ) {
    long j = i * i ;
    while ( j * i <= n ) {
      j *= i ;
      long s = ( long ) Math . sqrt ( j ) ;
      if ( s * s != j ) v . add ( j ) ;
    }
  }
  return v . size ( ) + ( long ) Math . sqrt ( n ) ;
}
","static long powerNumbers ( int n ) {
  HashSet < Long > v = new HashSet < Long > ( ) ;
  for ( long i = 2 ;
  n >= i * i * i ;
  i ++ ) {
    long j = i * i ;
    for ( ;
    j * i <= n ;
    ) {
      j *= i ;
      long s = ( long ) Math . sqrt ( j ) ;
      if ( s * s != j ) v . add ( j ) ;
    }
  }
  return v . size ( ) + ( long ) Math . sqrt ( n ) ;
}"
9,"static int findSmallest ( int a [ ] , int n ) {
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    int j ;
    for ( j = 0 ;
    j < n ;
    j ++ ) if ( a [ j ] % a [ i ] >= 1 ) break ;
    if ( j == n ) return a [ i ] ;
  }
  return - 1 ;
}
","static int subarraySmallest ( int a [ ] , int n ) {
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    int j ;
    for ( j = 0 ;
    j < n ;
    j ++ ) if ( a [ j ] % a [ i ] >= 1 ) break ;
    if ( j == n ) return a [ i ] ;
  }
  return - 1 ;
}
","static int findSmallest ( int a [ ] , int n ) {
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    int j ;
    j = 0 ;
    while ( n > j ) {
      if ( a [ j ] % a [ i ] >= 1 ) j ++ ;
      break ;
      j ++ ;
    }
    if ( j == n ) return a [ i ] ;
  }
  return - 1 ;
}"
